,complexTypeName,complexType,complexName,complexNo,totalHouseHoldCount,totalDongCount,useApproveYmd,minArea,maxArea,minPrice,maxPrice,minLeasePrice,maxLeasePrice,leasePerDealRate,isaleDealRestrictionCode,rebuildMembershipTransYn,livingResidenceYn,latitude,longitude
0,아파트,A01,YH빌리지,146479,16,1,20170908,33.02,36.32,0,0,0,0,0.0,N,N,N,37.478247,127.04667
0,아파트,A01,개포래미안포레스트,119219,2296,31,20200928,74.31,174.19,167000,420000,35000,220000,0.0,N,N,N,37.478448,127.054031
0,아파트,A01,개포비버리하임(도시형),140057,29,2,20181112,28.54,66.23,0,0,0,0,0.0,N,N,N,37.474555,127.049412
0,아파트,A01,개포상지리츠빌,107513,18,1,20030328,178.74,240.58,310000,780000,400000,400000,0.0,N,N,N,37.487257,127.060199
0,아파트,A01,개포자이,8928,212,4,20040617,160.71,204.52,270000,360000,120000,130000,0.0,N,N,N,37.496437,127.077115
0,아파트,A01,개포자이르네,145017,28,1,20221005,71.89,158.9,118500,270000,65000,65000,0.0,N,N,N,37.478654,127.055232
0,아파트,A01,개포자이프레지던스,128527,3375,35,202303,59.86,243.78,218000,400000,78000,195000,0.0,N,N,N,37.485251,127.07162
0,아파트,A01,개포현대(200동),103385,72,1,19860724,101.55,101.55,0,0,75000,75000,0.0,N,N,N,37.481772,127.052579
0,아파트,A01,개포현대2차(220동),10329,54,1,19880902,98.54,98.54,190000,190000,70000,75000,0.0,N,N,N,37.481215,127.052733
0,아파트,A01,개포현대5차,8967,18,1,19940222,148.38,148.38,210000,210000,0,0,0.0,N,N,N,37.484319,127.060077
0,아파트,A01,개포현대6차,10863,19,1,19931217,116.85,154.77,240000,240000,0,0,0.0,N,N,N,37.479759,127.046004
0,아파트,A01,경남,28,678,9,19840308,97.92,198.33,250000,380000,71000,120000,0.0,N,N,N,37.484623,127.054115
0,아파트,A01,그루(주상복합),127927,20,1,20190801,16.12,39.97,0,0,0,0,0.0,N,N,N,37.47713,127.045622
0,아파트,A01,노블레스빌(도시형),152745,14,1,20180510,33.6,53.27,0,0,0,0,0.0,N,N,N,37.474849,127.048625
0,아파트,A01,뉴현대파크빌,118254,10,1,20010516,79.61,96.08,0,0,0,0,0.0,N,N,N,37.474809,127.054818
0,아파트,A01,대청,419,822,6,19921014,56.5,81.67,110000,180000,33000,68000,0.0,N,N,N,37.495077,127.077121
