,complexNo,complexName,cortarNo,realEstateTypeCode,realEstateTypeName,detailAddress,latitude,longitude,totalHouseholdCount,totalBuildingCount,highFloor,lowFloor,useApproveYmd,dealCount,leaseCount,rentCount,shortTermRentCount,cortarAddress,gu_cortarNo,gu_cortarName,dong_cartarName
0,146479,YH빌리지,1168010300,APT,아파트,1237-8,37.478247,127.04667,16.0,1.0,6.0,6.0,20170908,0.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
1,119219,개포래미안포레스트,1168010300,APT,아파트,1282,37.478448,127.054031,2296.0,31.0,35.0,7.0,20200928,164.0,100.0,115.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
2,140057,개포비버리하임(도시형),1168010300,APT,아파트,1193-5,37.474555,127.049412,29.0,2.0,6.0,5.0,20181112,0.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
3,107513,개포상지리츠빌,1168010300,APT,아파트,176-1,37.487257,127.060199,18.0,1.0,11.0,10.0,20030328,3.0,1.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
4,8928,개포자이,1168010300,APT,아파트,12-2,37.496437,127.077115,212.0,4.0,22.0,20.0,20040617,13.0,3.0,2.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
5,145017,개포자이르네,1168010300,APT,아파트,1283,37.478654,127.055232,28.0,1.0,10.0,8.0,20221005,9.0,3.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
6,128527,개포자이프레지던스,1168010300,APT,아파트,189번지 일원,37.485251,127.07162,3375.0,35.0,35.0,7.0,202303,21.0,76.0,75.0,3.0,서울시 강남구 개포동,1168000000,강남구,개포동
7,103385,개포현대(200동),1168010300,APT,아파트,655-1,37.481772,127.052579,72.0,1.0,9.0,9.0,19860724,0.0,11.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
8,10329,개포현대2차(220동),1168010300,APT,아파트,655-2,37.481215,127.052733,54.0,1.0,9.0,9.0,19880902,2.0,8.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
9,8967,개포현대5차,1168010300,APT,아파트,172-3,37.484319,127.060077,18.0,1.0,9.0,9.0,19940222,1.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
10,10863,개포현대6차,1168010300,APT,아파트,1242-2,37.479759,127.046004,19.0,1.0,8.0,4.0,19931217,1.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
11,28,경남,1168010300,APT,아파트,649,37.484623,127.054115,678.0,9.0,15.0,12.0,19840308,51.0,74.0,34.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
12,127927,그루(주상복합),1168010300,APT,아파트,1229-6,37.47713,127.045622,20.0,1.0,8.0,8.0,20190801,0.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
13,152745,노블레스빌(도시형),1168010300,APT,아파트,1195-3,37.474849,127.048625,14.0,1.0,6.0,3.0,20180510,0.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
14,118254,뉴현대파크빌,1168010300,APT,아파트,1164-30,37.474809,127.054818,10.0,1.0,5.0,5.0,20010516,0.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
15,419,대청,1168010300,APT,아파트,12,37.495077,127.077121,822.0,6.0,15.0,13.0,19921014,45.0,27.0,12.0,1.0,서울시 강남구 개포동,1168000000,강남구,개포동
16,483,대치2단지,1168010300,APT,아파트,12,37.494658,127.075486,1758.0,11.0,15.0,15.0,19921014,62.0,44.0,17.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
